處室名稱,空間編號,建築物,樓層,樓層圖片
儲藏室,AD101,行政中心大樓,1F,maps/AD/1F.jpg
課教組資料室,AD102,行政中心大樓,1F,maps/AD/1F.jpg
註冊組資料室,AD103,行政中心大樓,1F,maps/AD/1F.jpg
教務處秘書室、註冊組及課教組,AD104,行政中心大樓,1F,maps/AD/1F.jpg
綜合業務組資料室,AD105a,行政中心大樓,1F,maps/AD/1F.jpg
教務長室,AD105b,行政中心大樓,1F,maps/AD/1F.jpg
茶水間,AD105c,行政中心大樓,1F,maps/AD/1F.jpg
綜合業務組,AD106,行政中心大樓,1F,maps/AD/1F.jpg
綜合業務組,AD107,行政中心大樓,1F,maps/AD/1F.jpg
綜合業務組工作室,AD108,行政中心大樓,1F,maps/AD/1F.jpg
變電室,AD109,行政中心大樓,1F,maps/AD/1F.jpg
文書組,AD111,行政中心大樓,1F,maps/AD/1F.jpg
營繕組,AD112,行政中心大樓,1F,maps/AD/1F.jpg
事務組,AD113,行政中心大樓,1F,maps/AD/1F.jpg
總務處秘書室,AD114,行政中心大樓,1F,maps/AD/1F.jpg
副總務長室,AD115,行政中心大樓,1F,maps/AD/1F.jpg
總務長室,AD116,行政中心大樓,1F,maps/AD/1F.jpg
開標室,AD117,行政中心大樓,1F,maps/AD/1F.jpg
出納組,AD119,行政中心大樓,1F,maps/AD/1F.jpg
軍訓組,AD121,行政中心大樓,1F,maps/AD/1F.jpg
軍訓組,AD122,行政中心大樓,1F,maps/AD/1F.jpg
生輔組資料室,AD123a,行政中心大樓,1F,maps/AD/1F.jpg
公文交換中心,AD123b,行政中心大樓,1F,maps/AD/1F.jpg
軍訓組資料室,AD124a,行政中心大樓,1F,maps/AD/1F.jpg
訪談室,AD124b,行政中心大樓,1F,maps/AD/1F.jpg
生輔組,AD125,行政中心大樓,1F,maps/AD/1F.jpg
生輔組長室,AD126,行政中心大樓,1F,maps/AD/1F.jpg
學務處秘書室,AD127,行政中心大樓,1F,maps/AD/1F.jpg
學務處會議室,AD128,行政中心大樓,1F,maps/AD/1F.jpg
學務長室,AD129,行政中心大樓,1F,maps/AD/1F.jpg
茶水間,AD130,行政中心大樓,1F,maps/AD/1F.jpg
人事室,AD201,行政中心大樓,2F,maps/AD/2F.jpg
人事主任室,AD202,行政中心大樓,2F,maps/AD/2F.jpg
主計室,AD203,行政中心大樓,2F,maps/AD/2F.jpg
主計主任室,AD204,行政中心大樓,2F,maps/AD/2F.jpg
主計資料室,AD205,行政中心大樓,2F,maps/AD/2F.jpg
會議室,AD206,行政中心大樓,2F,maps/AD/2F.jpg
公共關係組,AD207,行政中心大樓,2F,maps/AD/2F.jpg
副校長辦公室(一),AD208,行政中心大樓,2F,maps/AD/2F.jpg
副校長辦公室(三),AD209,行政中心大樓,2F,maps/AD/2F.jpg
會議室,AD210,行政中心大樓,2F,maps/AD/2F.jpg
茶水間,AD211a,行政中心大樓,2F,maps/AD/2F.jpg
準備室,AD211b,行政中心大樓,2F,maps/AD/2F.jpg
貴賓室,AD221,行政中心大樓,2F,maps/AD/2F.jpg
校長辦公室,AD222,行政中心大樓,2F,maps/AD/2F.jpg
校長室,AD223,行政中心大樓,2F,maps/AD/2F.jpg
會議室,AD224,行政中心大樓,2F,maps/AD/2F.jpg
資料室,AD225,行政中心大樓,2F,maps/AD/2F.jpg
行政管理組,AD301b,行政中心大樓,3F,maps/AD/3F.jpg
主秘辦公室,AD301a,行政中心大樓,3F,maps/AD/3F.jpg
會議室,AD302,行政中心大樓,3F,maps/AD/3F.jpg
主任室,AD303,行政中心大樓,3F,maps/AD/3F.jpg
校務發展中心辦公室,AD304a,行政中心大樓,3F,maps/AD/3F.jpg
教學卓越中心辦公室,AD304b,行政中心大樓,3F,maps/AD/3F.jpg
教學卓越中心會議室,AD304c,行政中心大樓,3F,maps/AD/3F.jpg
副校長室(二),AD305,行政中心大樓,3F,maps/AD/3F.jpg
研發處會議室,AD306a,行政中心大樓,3F,maps/AD/3F.jpg
研發處工作室,AD306b,行政中心大樓,3F,maps/AD/3F.jpg
副研發長室,AD306c,行政中心大樓,3F,maps/AD/3F.jpg
研發長室,AD306d,行政中心大樓,3F,maps/AD/3F.jpg
檔案室,AD306e,行政中心大樓,3F,maps/AD/3F.jpg
辦公室,AD306f,行政中心大樓,3F,maps/AD/3F.jpg
